name,ticker,group
AMEN BANK,AB,11
ARTES,ARTES,11
ASSU MAGHREBIA VIE,AMV,11
ATB,ATB,11
ATELIER MEUBLE INT,SAM,11
ATL,ATL,11
ATTIJARI BANK,TJARI,11
ATTIJARI LEASING,TJL,11
BH BANK,BH,11
BIAT,BIAT,11
BNA,BNA,11
BT,BT,11
CARTHAGE CEMENT,CC,11
CITY CARS,CITY,11
DELICE HOLDING,DH,11
ENNAKL AUTOMOBILES,NAKL,11
EURO_CYCLES,ECYCL,11
ICF,IFC,11
LAND OR,LNDOR,11
MPBS,MPBS,11
NEW BODY LINE,NBL,11
ONE TECH HOLDING,OTH,11
POULINA GP HOLDING,PGH,11
SAH,SAH,11
SFBT,SFBT,11
SIAME,SIAME,11
SMART TUNISIE,SMART,11
SOMOCER,SOMOC,11
SOTETEL,SOTET,11
SOTIPAPIER,STPAP,11
SOTRAPIL,STPIL,11
SOTUMAG,MGR,11
SOTUVER,SOTUV,11
STA,STA,11
STB,STB,11
TELNET HOLDING,TLNET,11
TPR,TPR,11
UIB,UIB,11
UNIMED,UMED,11
AETECH,AETEC,12
AIR LIQUIDE TSIE,AL,12
ALKIMIA,ALKIM,12
ASSAD,ASSAD,12
ASSUR MAGHREBIA,ASSMA,12
ASTREE,AST,12
BEST LEASE,BL,12
BH ASSURANCE,BHASS,12
BH LEASING,BHL,12
BTE (ADP),BTE,12
CELLCOM,CELL,12
CIL,CIL,12
CIMENTS DE BIZERTE,SCB,12
ELECTROSTAR,LSTR,12
ESSOUKNA,SOKNA,12
GIF-FILTER,GIF,12
HANNIBAL LEASE,HL,12
MAGASIN GENERAL,MAG,12
MAGHREB INTER PUB,MIP,12
MONOPRIX,MNP,12
OFFICEPLAST,PLAST,12
PLAC. TSIE-SICAF,PLTU,12
SANIMED,SMD,12
SERVICOM,SERVI,12
SIMPAR,SIMPA,12
SIPHAT,SIPHA,12
SITS,SITS,12
SOTEMAIL,SOTEM,12
SPDIT SICAF,SPDIT,12
STAR,STAR,12
STIP,STIP,12
TAWASOL GP HOLDING,TGH,12
TUNINVEST â€“ SICAR,TINV,12
TUNIS RE,TRE,12
TUNISAIR,TAIR,12
TUNISIE LEASING F,TLS,12
UADH,UADH,12
UBCI,UBCI,12
WIFACK INT BANK,WIFAK,12
AETECH,AETECH,99
ALKIMIA,ALKIM,99
ASSAD,ASSAD,99
CELLCOM,CELL,99
ELECTROSTAR,LSTR,99
GIF-FILTER,GIF,99
MAGHREB INTERN PUB,MIP,99
SANIMED,SMD,99
SERVICOM,SERVI,99
SIPHAT,SIPHA,99
TAWASOL GP HOLDING,TGH,99
TUNISAIR,TAIR,99
UADH,UADH,99
ASS MULTI ITTIHAD,AMI,13
SITEX,SITEX,13
STE TUN DU SUCRE,STS,13
AMI DA 1/4 110817 AMI 17,33
AMI DA 27/35 241120 AMI20,33
AB DA 1/7 12102023,AB23,32
AB DA1/24 01082016,AB16,32
AB DA1/25 300617,AB17,32
AB Da 1/10 110613,AB13,32
AB Da 1/27,ABA38,32
AB Da 26 3/37,AB26,32
AB Da 29 3/40,AB29,32
AB Da 3/37 281209,ABDA9,32
AB Da 34 2/59,AB34,32
ABDA 1/14 11122007,ABDA7,32
AIR LIQ Da1/4 0999,ALODA,32
AIR LIQ Da1/6 0601,ALQO1,32
AIR LIQ Da1/8 0903,ALQO3,32
AL Da 1/11 030908,ALQO8,32
AL Da 1/12 030909,ALQO9,32
ALK Da 1/10 240603,ALKO3,32
ALKIM Da,ALKDA,32
ALKIM Da04,ALKO4,32